Nummer studiedeel;Omschrijving;Toetsdatum;Offic. Cijfer;
DMCI-ICT 5015DDA_OP;Data Analysis & Data Mining op;08-04-2016;7,9; 
DMCI-ICT 5015DDA_TS;Data Analysis & Data Mining ts;08-04-2016;6,3; 
DMCI-ICT 5015DPS2OP;Professional Skills 3.2 op;28-03-2016;6,8; 
EM-BI-L 2111AD1APD;AD1a Datawarehouseontwerp PD;29-01-2016;8,5; 
EM-BI-L 2111AD1BTS;AD1b Stermodel tentamen;29-01-2016;6,8; 
EM-BI-L 2111AD3APD;AD3a Functioneel ontwerp PD;29-01-2016;7; 
EM-BI-L 2111AD3BPE;AD3b Functioneel ontwerp PE;29-01-2016;6; 
EM-BI-L 2111AD2APD;AD2a Business requirements PD;06-11-2015;6,9; 
EM-BI-L 2111AD2BPE;AD2b Business reguirements PE;06-11-2015;6,9; 
EM-BI-L 2111AD4APD;AD4a Projectplan PD;06-11-2015;8; 
EM-BI-L 2111AD4BTS;AD4b Projectmanagement TS;06-11-2015;7; 
EM-BI-L 2111BP4BPD;BP4b Change readiness;10-07-2015;6,8; 
;;;;
EM-BI-L 2111BP3_PD;BP3 Procesverbeteringsadvies;25-06-2015;8; 
DMCI-ICT 1014DPR_PR;Programming practicum;22-06-2015;6,3; 
EM-BI-L 2111BP4ATS;BP4a Change Tentamen;22-06-2015;8,6; 
EM-BI-L 2111BP1BTS;BP1b Processen Tentamen;07-04-2015;6,2; 
DMCI-BI 2113BP1CPE;BP1c Verdiepingspresentatie;02-04-2015;6; 
DMCI-BI 2113BP1AOP;BP1a Procesanalyse;30-03-2015;8; 
DMCI-ICT 1013DMDBOP;DMDB: opdracht datamodellering;02-02-2015;10; 
DMCI-ICT 1013DMDBPR;DMDB: practicum databases;02-02-2015;7; 
DMCI-BI 1013BS6_PO;BS6 Competentieontwikkeling;30-01-2015;7,5; 
;;;;
DMCI-ICT 1014DINFTS;Infrastructure toets;30-01-2015;7,4; 
DMCI-ICT 1014DITSO1;ITSM plan van aanpak;30-01-2015;8; 
DMCI-ICT 1014DITSO2;ITSM opdracht;30-01-2015;8; 
DMCI-ICT 1014DMDBO1;DMDB: opdracht datamodellering;30-01-2015;10; 
;;;;
DMCI-ICT 1014DPS1PO;Professional Skills 1.1 po;30-01-2015;6; 
DMCI-ICT 1014DOSIPD;POS: proces;29-01-2015;8,5; 
DMCI-ICT 1014DOSITM;POS: methoden en technieken;29-01-2015;8; 
DMCI-ICT 1014DOSTPD;POS: teambeoordeling / product;29-01-2015;7; 
DMCI-ICT 1014DCOPOP;Competentie-ontwikkelplan op;22-01-2015;7; 
DMCI-ICT 1014DB&ITS;Business & ICT Fundamentals ts;07-11-2014;6,1; 
;;;;
DMCI-ICT 1014DMDBO2;DMDB: opdracht databases;07-11-2014;7; 
;;;;
DMCI-ICT 1014DPR_TS;Programming opdracht;07-11-2014;vold.; 
DMCI-BI 1013BS4_TS;BS4 Bedrijfskunde en financiën;20-06-2014;7; 
DMCI-BI 1013BS5APD;BS5a Business Plan;20-06-2014;8; 
DMCI-BI 1013BS5BPE;BS5b Verdediging Business Plan;20-06-2014;7,3; 
;;;;
DMCI-BI 1013BS1_TS;BS1 Strategie en marketing;11-04-2014;6,4; 
DMCI-BI 1013BS2_PD;BS2 Onderzoeksopdracht cebit;11-04-2014;5,7; 
DMCI-BI 1013BS3_PD;BS3 Analyse eigen organisatie;11-04-2014;6,1; 
