Loopbaan;Nummer studiedeel;Omschrijving;Toetsdatum;Offic. cijfer;Datum verlopen geldigheidsduur
Bachelor;DMCI-ICT 5015BS__TS;Business Studio ts;08/04/16;6,5;
Bachelor;DMCI-ICT 5015DADMOP;Data Analysis & Data Mining op;08/04/16;8;
Bachelor;DMCI-ICT 5015DADMTP;Data Analysis & Data Mining tp;08/04/16;10;
Bachelor;DMCI-ICT 5015DADMTS;Data Analysis & Data Mining ts;08/04/16;8,2;
Bachelor;DMCI-ICT 3014STAGP1;Stage Competentieontwikkelplan;27/01/16;vold.;
Bachelor;DMCI-ICT 3014STAGP2;Stage Concept-portfolio;27/01/16;vold.;
Bachelor;DMCI-ICT 3014STAGTM;Stage Portfolio-assessment;27/01/16;8,5;
Bachelor;DMCI-ICT 5014PS06OP;PSP Professioneel schrijven op;08/07/15;geen res.;
Bachelor;DMCI-ICT 5014MIS_OP;Mobile Infrastructure & Sec. o;26/06/15;vold.;
Bachelor;DMCI-ICT 5014MIS_TD;Mobile Infrastructure & Sec. t;26/06/15;7,4;
Bachelor;DMCI-ICT 5014MS__PA;Mobile Society paper;26/06/15;geen res.;
Bachelor;DMCI-ICT 5014MS__PE;Mobile Society presentatie;26/06/15;7;
Bachelor;DMCI-ICT 5014PS06OP;PSP Professioneel schrijven op;24/06/15;7;
Bachelor;DMCI-ICT 5014PMD1TM;PMD methoden en technieken;15/06/15;9;
Bachelor;DMCI-ICT 5014PMD2PD;PMD product;15/06/15;8,5;
Bachelor;DMCI-ICT 5014PMD3TM;PMD process;15/06/15;8,7;
Bachelor;DMCI-ICT 2014S&S_OP;Sorting and Searching pract.;29/04/15;vold.;
Bachelor;DMCI-ICT 5014MAD_OP;Mobile Application Dev. assign;10/04/15;vold.;
Bachelor;DMCI-ICT 5014MAD_TP;Mobile Application Dev. pract.;10/04/15;8;
Bachelor;DMCI-ICT 5014MDP_OP;Mobile Design & Prototyping o.;10/04/15;vold.;
Bachelor;DMCI-ICT 5014MDP_TP;Mobile Design & Prototyping p.;10/04/15;7,7;
Bachelor;DMCI-ICT 2014EWA1PD;PEWA product;30/01/15;9,2;
Bachelor;DMCI-ICT 2014EWA3TM;PEWA process;30/01/15;9;
Bachelor;DMCI-ICT 2014EWA4TM;PEWA methoden en technieken;30/01/15;7;
Bachelor;DMCI-ICT 2014EWA5TM;PEWA fluency;30/01/15;vold.;
Bachelor;DMCI-ICT 2014PEERTM;Peer-assessment tm;30/01/15;7;
Bachelor;DMCI-ICT 2014S&S_OP;Sorting and Searching pract.;30/01/15;onvold.;
Bachelor;DMCI-ICT 2014S&S_TS;Sorting and Searching theory;30/01/15;9;
Bachelor;DMCI-ICT 2014TESTOP;Testing practical;30/01/15;vold.;
Bachelor;DMCI-ICT 2014TESTTS;Testing theory;30/01/15;6;
Bachelor;DMCI-ICT 5014PS08OP;PSP Time Management op;30/01/15;6;
Bachelor;DMCI-ICT 5014PRF1PS;Cursusnaam;19/01/15;vold.;
Bachelor;DMCI-ICT 2014EWA2TP;PEWA WEB theory;10/12/14;7,5;
Bachelor;DMCI-ICT 2014DS__OP;Datastructures practical;07/11/14;vold.;
Bachelor;DMCI-ICT 2014DS__TS;Datastructures theory;07/11/14;8,7;
Bachelor;DMCI-ICT 2014EWA2TP;PEWA WEB theory;07/11/14;3;
Bachelor;DMCI-ICT 2014OOADOP;OOAD practical;07/11/14;vold.;
Bachelor;DMCI-ICT 2014OOADTD;OOAD theory;07/11/14;6,9;
Bachelor;DMCI-ICT 2014JO__OP;Job Orientation assignments;05/11/14;7,5;
