" 
Loopbaan";Nummer studiedeel;Omschrijving;Toetsdatum;Offic. cijfer
Bachelor;DMCI-ICT 3014STAGP1;Stage Competentieontwikkelplan;27-1-2016;vold.
Bachelor;DMCI-ICT 3014STAGP2;Stage Concept-portfolio;27-1-2016;vold.
Bachelor;DMCI-ICT 3014STAGTM;Stage Portfolio-assessment;27-1-2016;7
Bachelor;DMCI-ICT 2014DS__OP;Datastructures practical;6-11-2015;geen res.
Bachelor;DMCI-ICT 5014HB1_PA;Human Business business plan;6-11-2015;geen res.
Bachelor;DMCI-ICT 5014PSC_PA;Platform, Sensors and Comm. op;6-11-2015;geen res.
Bachelor;DMCI-ICT 5014PSC_TS;Platform, Sensors and Comm. ts;27-8-2015;6,3
Bachelor;DMCI-ICT 5014PS07OP;PSP Scient. Research Skills op;8-7-2015;geen res.
Bachelor;DMCI-ICT 5014CUD_O1;Creation And User Design opdr.;26-6-2015;vold.
Bachelor;DMCI-ICT 5014CUD_O2;Creation And User Design final;26-6-2015;6,3
Bachelor;DMCI-ICT 5014HB2_PA;Human Business paper;26-6-2015;7
Bachelor;DMCI-ICT 5014IOT1TM;PIoT methoden en technieken;26-6-2015;7
Bachelor;DMCI-ICT 5014IOT2PD;PIoT product;26-6-2015;7
Bachelor;DMCI-ICT 5014IOT3TM;PIoT process;26-6-2015;7
Bachelor;DMCI-ICT 5014V&A_O2;Visualisation & Application p2;26-6-2015;6,3
Bachelor;DMCI-ICT 5014PSC_PA;Platform, Sensors and Comm. op;25-6-2015;geen res.
Bachelor;DMCI-ICT 5014PSC_TS;Platform, Sensors and Comm. ts;25-6-2015;3,8
Bachelor;DMCI-ICT 5014PS07OP;PSP Scient. Research Skills op;24-6-2015;geen res.
Bachelor;DMCI-ICT 5014HB1_PA;Human Business business plan;10-4-2015;geen res.
Bachelor;DMCI-ICT 5014V&A_O1;Visualisation & Application p1;10-4-2015;6
Bachelor;DMCI-ICT 1013OOP1TP;Object Oriented Programming 1p;13-3-2015;geen res.
Bachelor;DMCI-ICT 2014S&S_OP;Sorting and Searching pract.;13-3-2015;geen res.
Bachelor;DMCI-ICT 2014S&S_TS;Sorting and Searching theory;13-3-2015;4,8
Bachelor;DMCI-ICT 1013OOP1TP;Object Oriented Programming 1p;30-1-2015;6
Bachelor;DMCI-ICT 2014EWA1PD;PEWA product;30-1-2015;7
Bachelor;DMCI-ICT 2014EWA3TM;PEWA process;30-1-2015;7
Bachelor;DMCI-ICT 2014EWA4TM;PEWA methoden en technieken;30-1-2015;9
Bachelor;DMCI-ICT 2014EWA5TM;PEWA fluency;30-1-2015;vold.
Bachelor;DMCI-ICT 2014PEERTM;Peer-assessment tm;30-1-2015;6
Bachelor;DMCI-ICT 2014S&S_OP;Sorting and Searching pract.;30-1-2015;geen res.
Bachelor;DMCI-ICT 2014S&S_TS;Sorting and Searching theory;30-1-2015;3,1
Bachelor;DMCI-ICT 2014TESTOP;Testing practical;30-1-2015;vold.
Bachelor;DMCI-ICT 2014TESTTS;Testing theory;30-1-2015;5,6
Bachelor;DMCI-ICT 5014PS08OP;PSP Time Management op;30-1-2015;8
Bachelor;DMCI-ICT 5014PRF1PS;Cursusnaam;19-1-2015;vold.
Bachelor;DMCI-ICT 2014DS__TS;Datastructures theory;19-12-2014;5,1
Bachelor;DMCI-ICT 2014EWA2TP;PEWA WEB theory;10-12-2014;geen res.
Bachelor;DMCI-ICT 2014DS__OP;Datastructures practical;7-11-2014;geen res.
Bachelor;DMCI-ICT 2014DS__TS;Datastructures theory;7-11-2014;5,3
Bachelor;DMCI-ICT 2014EWA2TP;PEWA WEB theory;7-11-2014;6
Bachelor;DMCI-ICT 2014OOADOP;OOAD practical;7-11-2014;vold.
Bachelor;DMCI-ICT 2014OOADTD;OOAD theory;7-11-2014;5,7
Bachelor;DMCI-ICT 2014JO__OP;Job Orientation assignments;5-11-2014;7,3
Bachelor;DMCI-ICT 2014JO__PS;Job Orientation presentie;5-11-2014;vold.
Bachelor;DMCI-ICT 1013DB2_TP;Databases 2 practicum;20-6-2014;vold.
Bachelor;DMCI-ICT 1013DB2_TS;Databases 2 tentamen;20-6-2014;7,2
Bachelor;DMCI-ICT 1013PAD1PD;PAD: Product;20-6-2014;7,9
Bachelor;DMCI-ICT 1013PAD2TM;PAD: Proces mondeling;20-6-2014;7,5
Bachelor;DMCI-ICT 1013PAD3TM;PAD: Methoden en technieken tm;20-6-2014;7,5
Bachelor;DMCI-ICT 1013USIATD;User Interaction tentamen;20-6-2014;6,5
Bachelor;DMCI-ICT 1013USIATP;User Interaction practicum;20-6-2014;vold.
Bachelor;DMCI-ICT 1013CSK_TM;Communication Skills mondeling;16-6-2014;7
Bachelor;DMCI-ICT 1013PAD3TD;PAD: Methoden & technieken UML;26-5-2014;5,5
Bachelor;DMCI-ICT 1013ESKNTS;Essential Skills Nederlands ts;8-4-2014;6
Bachelor;DMCI-ICT 1013INF_TD;Infrastructure tentamen;7-4-2014;7,2
Bachelor;DMCI-ICT 1013INF_TP;Infrastructure practicum;7-4-2014;vold.
Bachelor;DMCI-ICT 1013OOP2TP;Object Oriented Programming 2p;7-4-2014;6,2
Bachelor;DMCI-ICT 1013PAD2TD;PAD: Proces SCRUM;7-4-2014;9
Bachelor;DMCI-ICT 1013PAD3TD;PAD: Methoden & technieken UML;7-4-2014;4,9
Bachelor;DMCI-ICT 1013RSK_PA;Research Skills pa;7-4-2014;8,6
Bachelor;DMCI-ICT 1013OOP1TP;Object Oriented Programming 1p;10-3-2014;3,9
Bachelor;DMCI-ICT 1013ESKWTD;Essential Skills Wiskunde td;20-2-2014;9,7
Bachelor;DMCI-ICT 1013SIM_PR;Domeinproject pr;3-2-2014;6
Bachelor;DMCI-ICT 1013DB__TP;Databases practicum;31-1-2014;vold.
Bachelor;DMCI-ICT 1013DB__TP;Databases practicum;31-1-2014;vold.
Bachelor;DMCI-ICT 1013DB__TS;Databases tentamen;31-1-2014;6,3
Bachelor;DMCI-ICT 1013OOP1TP;Object Oriented Programming 1p;31-1-2014;2,6
Bachelor;DMCI-ICT 1013PSK_TM;Project Skills mondeling;27-1-2014;8
Bachelor;DMCI-ICT 1013PFYSPD;PFYS: Product;13-1-2014;8,5
Bachelor;DMCI-ICT 1013PFYST1;PFYS: Proces;13-1-2014;7,5
Bachelor;DMCI-ICT 1013PFYST2;PFYS: Methoden en technieken;13-1-2014;8
Bachelor;DMCI-ICT 1013ESKETD;Essential Skills English toets;8-11-2013;6
Bachelor;DMCI-ICT 1013BUS_TS;Business tentamen;5-11-2013;7,1
Bachelor;DMCI-ICT 1013PRO_TP;Programming practicum;1-11-2013;6,1
Bachelor;DMCI-ICT 1013LSK_OP;Learning Skills op;28-10-2013;7
