Omschrijving;Toetsdatum;Offic. cijfer
Implementation opdracht;29-1-2016;geen res.
Network Engineering 2 theory;29-1-2016;6,6
PVIRT product;29-1-2016;5,7
PVIRT process;29-1-2016;7
PVIRT methoden en technieken;29-1-2016;6,8
PVIRT fluency;29-1-2016;vold.
Peer-assessment tm;18-1-2016;7
PSP Professioneel schrijven op;18-1-2016;5,5
Job Orientation assignments;18-12-2015;geen res.
Job Orientation presentie;18-12-2015;vold.
Essential Skills Nederlands td;8-12-2015;5,5
Business tentamen;6-11-2015;5,5
Job Orientation assignments;6-11-2015;6,1
Job Orientation presentie;6-11-2015;vold.
System Engineering 2 theory;6-11-2015;6,9
Testing practical;6-11-2015;geen res.
Testing theory;28-10-2015;4,9
Testing practical;26-10-2015;vold.
PAD: Product;26-6-2015;9
PAD: Proces mondeling;26-6-2015;7,5
PAD: Methoden en technieken tm;26-6-2015;6,5
Syst Eng Python Programming td;26-6-2015;7,3
Essential Skills Nederlands td;24-6-2015;5
Communication Skills mondeling;18-6-2015;7
Essential Skills English toets;18-6-2015;geen res.
Business tentamen;15-6-2015;4,7
PAD: Methoden & technieken UML;29-5-2015;4,9
User Interaction tentamen;29-5-2015;7
Essential Skills Wiskunde td;21-5-2015;8,1
PAD: Proces SCRUM;10-4-2015;5,8
PAD: Methoden & technieken UML;10-4-2015;3,6
Research Skills pa;10-4-2015;7
User Interaction practicum;10-4-2015;vold.
System Engineering 1 tentamen;30-3-2015;6,7
Domeinproject pr;7-2-2015;7
Databases opdrachten;30-1-2015;vold.
Databases tentamen;30-1-2015;7,4
Network Engineering 1 ten;30-1-2015;6,7
PFYS: Product;30-1-2015;6,9
PFYS: Proces;30-1-2015;8
PFYS: Methoden en technieken;30-1-2015;7,2
Project Skills mondeling;19-1-2015;8
Programming opdrachten;7-11-2014;vold.
Programming practicum;7-11-2014;9
Learning Skills op;4-11-2014;7,5
Infrastructure tentamen;31-10-2014;6,3
SKC Aanwezigheid;11-6-2014;vold.
SKC Advies;11-6-2014;vold.
