Vak,Onderdeel,Resultaat,datum,,,,
Business,Theorie,5.6,08-12-14,,,,
Business Information Systems,Practicum,6.4,10-04-15,,,,
Business Information Systems,Theorie,8.4,10-04-15,,,,
Communication Skills,Mondeling,7.7,18-06-15,,,,
Databases,Theorie,6.0,07-11-14,,,,
Databases,Opdrachten,V,07-11-14,,,,
Essential Skills English,Theorie,9.8,30-01-15,,,,
Essential Skills Nederlands,Theorie,9.3,24-06-15,,,,
Essential Skills Wiskunde,Theorie,8.2,19-01-15,,,,
Infrastructure,Theorie,9.7,10-04-15,,,,
IT Service Management,Theorie,9.4,01-07-15,,,,
Learning Skills,Opdrachten,7.1,04-11-14,,,,
Management & Organization,Theorie,9.7,28-01-15,,,,
Programming,Practicum,8.9,30-01-15,,,,
Programming,Opdrachten,V,02-04-15,,,,
Project Agile Development,Meth. & Tech.,10.0,26-06-15,,,,
Project Agile Development,Product,5.8,26-06-15,,,,
Project Agile Development,Proces,9.2,26-06-15,,,,
Project Agile Development SCRUM,Theorie,6.4,10-04-15,,,,
Project Agile Development UML,Theorie,6.2,10-04-15,,,,
Project Fasten Your Seatbelts,Meth. & Tech.,8.3,30-01-15,,,,
Project Fasten Your Seatbelts,Product,8.3,30-01-15,,,,
Project Fasten Your Seatbelts,Proces,5.9,30-01-15,,,,
Project Skills,Mondeling,9.2,19-01-15,,,,
Research Skills,Practicum,9.7,09-06-15,,,,
Students in Motion,Practicum,5.5,07-02-15,,,,
User Interaction,Theorie,8.3,17-06-15,,,,
User Interaction,Practicum,V,17-06-15,,,,
Financial Management,Theorie,6.0,06-11-15,,,,
Financial Management,Opdrachten,7.1,06-11-15,,,,
Business Intelligence,Theorie,7.1,18-12-15,,,,
Business Intelligence,Practicum,V,06-11-15,,,,
Job Orientation,Opdrachten,6.9,06-11-15,,,,
Job Orientation,Mondeling,V,06-11-15,,,,
PSP Schrijflab,Opdrachten,6.1,18-01-16,,,,
Peer Assesment,Mondeling,5.5,18-01-16,,,,
Testing,Practicum,V,18-01-16,,,,
Testing,Theorie,8.9,18-03-16,,,,
Change Management,Theorie,7.9,29-01-16,,,,
Change Management,Practicum,GR,29-01-16,,,,
Project Business Process Management,Product,8.6,29-01-16,,,,
Project Business Process Management,Theorie,7.5,29-01-16,,,,
Project Business Process Management,Proces,7.4,27-01-16,,,,
Project Business Process Management,Meth. & Tech.,8.3,29-01-16,,,,
Project Business Process Management,Mondeling,V,29-01-16,,,,
