Implementation opdracht;29-1-2016;10
Job Orientation assignments;29-1-2016;6,5
Network Engineering 2 theory;29-1-2016;7
PVIRT product;29-1-2016;7,4
PVIRT process;29-1-2016;7,5
PVIRT methoden en technieken;29-1-2016;7,1
PVIRT fluency;29-1-2016;vold.
Peer-assessment tm;18-1-2016;7
PSP Information Management op;18-1-2016;8
Job Orientation assignments;6-11-2015;vold.
Job Orientation presentie;6-11-2015;vold.
System Engineering 2 theory;6-11-2015;5
Testing practical;6-11-2015;vold.
Testing theory;28-10-2015;6,3
Testing practical;26-10-2015;vold.
PAD: Proces mondeling;3-7-2015;6,5
PAD: Methoden en technieken tm;3-7-2015;8,5
PAD: Product;26-6-2015;6,3
PAD: Proces mondeling;26-6-2015;6,5
PAD: Methoden en technieken tm;26-6-2015;8,5
Syst Eng Python Programming td;26-6-2015;6,9
Essential Skills Nederlands td;24-6-2015;6
Communication Skills mondeling;18-6-2015;8
Essential Skills English toets;18-6-2015;6
Business tentamen;15-6-2015;6
User Interaction tentamen;29-5-2015;7
User Interaction practicum;29-5-2015;vold.
PAD: Proces SCRUM;10-4-2015;7,1
PAD: Methoden & technieken UML;10-4-2015;5,9
Research Skills pa;10-4-2015;5,8
User Interaction tentamen;10-4-2015;6
User Interaction practicum;10-4-2015;vold.
System Engineering 1 tentamen;30-3-2015;6,1
Domeinproject pr;7-2-2015;6,5
Databases opdrachten;30-1-2015;vold.
Databases tentamen;30-1-2015;6,3
Network Engineering 1 ten;30-1-2015;6,1
PFYS: Product;30-1-2015;9,3
PFYS: Proces;30-1-2015;9
PFYS: Methoden en technieken;30-1-2015;9
Essential Skills Wiskunde td;19-1-2015;6
Project Skills mondeling;19-1-2015;7
Programming opdrachten;7-11-2014;vold.
Programming practicum;7-11-2014;8,5
Learning Skills op;4-11-2014;6
Infrastructure tentamen;31-10-2014;8
SKC Aanwezigheid;11-6-2014;vold.
SKC Advies;11-6-2014;vold.
