subject;grade
DATA ANALYSIS & DATA MINING;-
LANGUAGES, AUTOMATA, GRAPHS;- 
PROJECT ROBOT ON WHEELS;8 
INFORMATION IN TECHN. SYSTEMS;6
USER INTERACTION;6
PEER-ASSESSMENT;7
PSP OUT OF THE BOX;9
EMBEDDED SYSTEMS 2;7 
JOB ORIENTATION;8 
TESTING;6
AUTOMATA AND PROGRAMMING;8
ESSENTIAL SKILLS ENGLISH;6
PROJ. AGILE DEVELOPMENT PROD.;6
PROJ. AGILE DEVELOPMENT PROC.;6 
PROJ. AGILE DEVELOPMENT M&T;7
ESSENTIAL SKILLS NEDERLANDS;6
COMMUNICATION SKILLS;8
AUTOMATION OF TECH. SYSTEMS;7 
BUSINESS;6
PROJ. AGILE DEVELOPMENT SCRUM;7 
PROJ. AGILE DEVELOPMENT UML;6 
RESEARCH SKILLS;7
DATABASES;6 
DOMEINPROJECT;6 
EMBEDDED SYSTEMS 1;6
PRJ.FASTEN YOUR SEATBELTS PROD;7 
PRJ.FASTEN YOUR SEATBELTS PROC;7
PRJ.FASTEN YOUR SEATBELTS M&T;8
ESSENTIAL SKILLS WISKUNDE;9
PROJECT SKILLS;6
INFRASTRUCTURE;6
PROGRAMMING;9
LEARNING SKILLS;7
SKC AANWEZIGHEID;VOLD.
SKC OPDRACHT;VOLD.
SKC ADVIES;VOLD.
SKC AANWEZIGHEID;VOLD.




