Omschrijving,Toetsdatum,Offic. cijfer
Information in Techn Systems t,1/29/2016,geen res.
"Languages, Automata, Graphs p",1/29/2016,vold.
"Languages, Automata, Graphs t",1/29/2016,"6,3"
Creation And User Design final,1/29/2016,"7,9"
Human Business paper,1/29/2016,"7,2"
PIoT methoden en technieken,1/29/2016,"7,0"
PIoT product,1/29/2016,"8,0"
PIoT process,1/29/2016,"8,0"
"Platform, Sensors and Comm. ts",1/29/2016,"5,7"
Visualisation & Application p2,1/29/2016,geen res.
PSP Professional Ethics op,1/18/2016,"7,0"
Bedrijfspunt 3,11/26/2015,7
Bedrijfspunt 4,11/26/2015,7
Bedrijfspunt 5,11/26/2015,7
Embedded Systems 2 practical,11/6/2015,geen res.
Creation And User Design opdr.,11/6/2015,vold.
Human Business business plan,11/6/2015,"8,0"
"Platform, Sensors and Comm. op",11/6/2015,geen res.
Visualisation & Application p1,11/6/2015,"5,6"
Bedrijfspunt 2,10/1/2015,7
Stage Portfolio-assessment,8/27/2015,"8,0"
Stage Competentieontwikkelplan,7/6/2015,vold.
Stage Concept-portfolio,7/6/2015,vold.
Information in Techn Systems p,1/30/2015,vold.
Information in Techn Systems t,1/30/2015,"2,6"
"Languages, Automata, Graphs p",1/30/2015,geen res.
Peer-assessment tm,1/30/2015,"6,0"
PROW product,1/30/2015,"8,0"
PROW process,1/30/2015,"8,0"
PROW methoden en technieken,1/30/2015,"6,0"
PROW Fluency,1/30/2015,vold.
Bedrijfspunt 1,1/30/2015,7
PSP Facil. Learning in Edu.op,1/30/2015,"7,0"
"Languages, Automata, Graphs t",1/26/2015,"5,2"
Cursusnaam,1/19/2015,vold.
Job Orientation assignments,1/14/2015,"9,0"
Testing theory,12/19/2014,"6,0"
Embedded Systems 2 practical,11/7/2014,onvold.
Embedded Systems 2 theory,11/7/2014,"7,2"
Testing practical,11/7/2014,vold.
Testing theory,11/7/2014,"5,2"
Job Orientation assignments,11/5/2014,"5,0"
Job Orientation presentie,11/5/2014,vold.
PAD: Product,7/3/2014,"9,1"
Automation of Tech. Systems pa,6/27/2014,vold.
Automation of Tech. Systems pr,6/27/2014,"6,0"
Automation of Tech. Systems pa,6/20/2014,onvold.
Automation of Tech. Systems pr,6/20/2014,"6,0"
Essential Skills Nederlands ts,6/20/2014,"7,0"
PAD: Product,6/20/2014,geen res.
PAD: Proces mondeling,6/20/2014,"6,0"
PAD: Methoden en technieken tm,6/20/2014,"6,5"
Business tentamen,6/19/2014,"8,4"
Communication Skills mondeling,6/16/2014,"8,5"
PAD: Product,6/16/2014,"8,8"
Automata and Programming tent.,5/30/2014,"7,5"
Automata and Programming prac.,4/7/2014,vold.
Automata and Programming tent.,4/7/2014,"4,4"
PAD: Proces SCRUM,4/7/2014,"9,0"
PAD: Methoden & technieken UML,4/7/2014,"7,9"
Research Skills pa,4/7/2014,"9,0"
User Interaction tentamen,4/7/2014,"6,0"
User Interaction practicum,4/7/2014,vold.
Embedded Systems 1 tentamen,3/29/2014,"10,0"
Embedded Systems 1 practicum,3/10/2014,"10,0"
Essential Skills Wiskunde td,2/20/2014,"8,0"
Domeinproject pr,2/3/2014,"7,0"
Databases practicum,1/31/2014,vold.
Databases tentamen,1/31/2014,"7,7"
Embedded Systems 1 practicum,1/31/2014,"2,0"
Embedded Systems 1 tentamen,1/31/2014,"2,0"
Project Skills mondeling,1/27/2014,"8,0"
PFYS: Product,1/13/2014,"8,0"
PFYS: Proces,1/13/2014,"8,0"
PFYS: Methoden en technieken,1/13/2014,"6,5"
Essential Skills English toets,11/8/2013,"7,0"
Infrastructure tentamen,11/8/2013,"8,4"
Infrastructure practicum,11/8/2013,vold.
Programming practicum,11/1/2013,"9,9"
Learning Skills op,10/28/2013,"8,0"
