Studentennr;Studiedeel;Omschrijving;Offic. cijfer
500671512;DMCI-ICT 1000BUS_14;Business;6
500671512;DMCI-ICT 1000CSK_14;Communication Skills;6
500671512;DMCI-ICT 1000DB__14;Databases;8
500671512;DMCI-ICT 1000ESK_14;Essential Skills;7
500671512;DMCI-ICT 1000INF_14;Infrastructure;7
500671512;DMCI-ICT 1000LSK_14;Learning Skills;7
500671512;DMCI-ICT 1000PAD_14;Project Agile Development;7
500671512;DMCI-ICT 1000PFYS14;Project Fasten Your Seatbelts;7
500671512;DMCI-ICT 1000PRO_14;Programming;7
500671512;DMCI-ICT 1000PSK_14;Project Skills;7
500671512;DMCI-ICT 1000RSK_14;Research Skills;6
500671512;DMCI-ICT 1000SIM_14;Domeinproject;6
500671512;DMCI-ICT 1000USIA14;User Interaction;8
500671512;DMCI-ICT 1000BIS_13;Business Information Systems;7
500671512;DMCI-ICT 1000ITSM13;IT Service Management;6
500671512;DMCI-ICT 1000MO_13;Management & Organization;6
