Loopbaan;Nummer studiedeel;Omschrijving;Toetsdatum;Offic. cijfer;Student Nummer
Bachelor;DMCI-ICT 2014BPM2TS;PBPM theorie/practicum toets;18-3-2016;geen res.;500713181
Bachelor;DMCI-ICT 2014CM__TS;Change Management theory;18-3-2016;6,7;500713181
Bachelor;DMCI-ICT 2014TESTOP;Testing practical;7-3-2016;vold.;500713181
Bachelor;DMCI-ICT 2014BPM1PD;PBPM product;29-1-2016;6,7;500713181
Bachelor;DMCI-ICT 2014BPM2TS;PBPM theorie/practicum toets;29-1-2016;7;500713181
Bachelor;DMCI-ICT 2014BPM4TM;PBPM methoden en technieken;29-1-2016;7,5;500713181
Bachelor;DMCI-ICT 2014BPM5TM;PBPM individueel fluency;29-1-2016;vold.;500713181
Bachelor;DMCI-ICT 2014CM__PE;Change Management practical;29-1-2016;8;500713181
Bachelor;DMCI-ICT 2014CM__TS;Change Management theory;29-1-2016;4,4;500713181
Bachelor;DMCI-ICT 2015TESTTD;Testing theory;29-1-2016;6,5;500713181
Bachelor;DMCI-ICT 2014BPM3TM;PBPM process;27-1-2016;7,5;500713181
Bachelor;DMCI-ICT 2014PEERTM;Peer-assessment tm;18-1-2016;7,5;500713181
Bachelor;DMCI-ICT 2014TESTOP;Testing practical;18-1-2016;onvold.;500713181
Bachelor;DMCI-ICT 5014PS08OP;PSP Time Management op;18-1-2016;9;500713181
Bachelor;DMCI-ICT 2014BI__TS;Business Intelligence theory;18-12-2015;6,8;500713181
Bachelor;DMCI-ICT 2014FM__TS;Financial Management theory;18-12-2015;geen res.;500713181
Bachelor;DMCI-ICT 2014JO__OP;Job Orientation assignments;18-12-2015;geen res.;500713181
Bachelor;DMCI-ICT 2014JO__PS;Job Orientation presentie;18-12-2015;vold.;500713181
Bachelor;DMCI-ICT 1014PRO_OP;Programming opdrachten;16-11-2015;vold.;500713181
Bachelor;DMCI-ICT 1014PRO_OP;Programming opdrachten;6-11-2015;geen res.;500713181
Bachelor;DMCI-ICT 2014BI__OP;Business Intelligence pract.;6-11-2015;vold.;500713181
Bachelor;DMCI-ICT 2014BI__TS;Business Intelligence theory;6-11-2015;4,5;500713181
Bachelor;DMCI-ICT 2014FM__PA;Financial Management paper;6-11-2015;8;500713181
Bachelor;DMCI-ICT 2014FM__TS;Financial Management theory;6-11-2015;7;500713181
Bachelor;DMCI-ICT 2014JO__OP;Job Orientation assignments;6-11-2015;7,5;500713181
Bachelor;DMCI-ICT 2014JO__PS;Job Orientation presentie;6-11-2015;vold.;500713181
Bachelor;DMCI-ICT 1014INF_TD;Infrastructure tentamen;3-7-2015;geen res.;500713181
Bachelor;DMCI-ICT 1014PAD4TM;PAD: Methoden en technieken tm;3-7-2015;6;500713181
Bachelor;DMCI-ICT 1013ITSMTS;IT Service Management tentamen;1-7-2015;geen res.;500713181
Bachelor;DMCI-ICT 1014PAD1PD;PAD: Product;26-6-2015;8,3;500713181
Bachelor;DMCI-ICT 1014PAD2TM;PAD: Proces mondeling;26-6-2015;7;500713181
Bachelor;DMCI-ICT 1014PAD4TM;PAD: Methoden en technieken tm;26-6-2015;6;500713181
Bachelor;DMCI-ICT 1014ESKNTD;Essential Skills Nederlands td;24-6-2015;6;500713181
Bachelor;DMCI-ICT 1014CSK_TM;Communication Skills mondeling;18-6-2015;7,2;500713181
Bachelor;DMCI-ICT 1014ESKETD;Essential Skills English toets;18-6-2015;6;500713181
Bachelor;DMCI-ICT 1014USIATD;User Interaction tentamen;17-6-2015;7;500713181
Bachelor;DMCI-ICT 1014USIATP;User Interaction practicum;17-6-2015;vold.;500713181
Bachelor;DMCI-ICT 1013ITSMTS;IT Service Management tentamen;15-6-2015;8,4;500713181
Bachelor;DMCI-ICT 1013BIS_TM;Business Info. Syst. procesm.;29-5-2015;7,8;500713181
Bachelor;DMCI-ICT 1013BIS_TM;Business Info. Syst. procesm.;29-5-2015;4,6;500713181
Bachelor;DMCI-ICT 1014PAD3TD;PAD: Proces SCRUM;29-5-2015;geen res.;500713181
Bachelor;DMCI-ICT 1013BIS_TM;Business Info. Syst. procesm.;10-4-2015;4,1;500713181
Bachelor;DMCI-ICT 1013BIS_TS;Business Info. Syst. tentamen;10-4-2015;7,1;500713181
Bachelor;DMCI-ICT 1014INF_TD;Infrastructure tentamen;10-4-2015;8,3;500713181
Bachelor;DMCI-ICT 1014PAD3TD;PAD: Proces SCRUM;10-4-2015;5,7;500713181
Bachelor;DMCI-ICT 1014PAD5TD;PAD: Methoden & technieken UML;10-4-2015;6,7;500713181
Bachelor;DMCI-ICT 1014RSK_PA;Research Skills pa;10-4-2015;6,2;500713181
Bachelor;DMCI-ICT 1014ESKWTD;Essential Skills Wiskunde td;9-4-2015;8,8;500713181
Bachelor;DMCI-ICT 1014INF_TD;Infrastructure tentamen;27-3-2015;5,2;500713181
Bachelor;DMCI-ICT 1014PRO_OP;Programming opdrachten;13-3-2015;geen res.;500713181
Bachelor;DMCI-ICT 1014PRO_TP;Programming practicum;13-3-2015;6;500713181
Bachelor;DMCI-ICT 1014SIM_PR;Domeinproject pr;7-2-2015;6,9;500713181
Bachelor;DMCI-ICT 1014PFYSPD;PFYS: Product;30-1-2015;7;500713181
Bachelor;DMCI-ICT 1014PFYST1;PFYS: Proces;30-1-2015;7;500713181
Bachelor;DMCI-ICT 1014PFYST2;PFYS: Methoden en technieken;30-1-2015;6;500713181
Bachelor;DMCI-ICT 1014PRO_OP;Programming opdrachten;30-1-2015;onvold.;500713181
Bachelor;DMCI-ICT 1014PRO_TP;Programming practicum;30-1-2015;geen res.;500713181
Bachelor;DMCI-ICT 1013M&O_TS;Management & Organization ts;28-1-2015;7,9;500713181
Bachelor;DMCI-ICT 1014PSK_TM;Project Skills mondeling;19-1-2015;7;500713181
Bachelor;DMCI-ICT 1014BUS_TS;Business tentamen;19-12-2014;7;500713181
Bachelor;DMCI-ICT 1014BUS_TS;Business tentamen;7-11-2014;4,7;500713181
Bachelor;DMCI-ICT 1014DB__OP;Databases opdrachten;7-11-2014;vold.;500713181
Bachelor;DMCI-ICT 1014DB__TS;Databases tentamen;7-11-2014;8;500713181
Bachelor;DMCI-ICT 1014LSK_OP;Learning Skills op;4-11-2014;8;500713181
Bachelor;DMCI-ICT 8800IAAN14;SKC Aanwezigheid;11-6-2014;vold.;500713181
Bachelor;DMCI-ICT 8800IADV14;SKC Advies;11-6-2014;vold.;500713181
