Loopbaan;Nummer studiedeel;Omschrijving;Toetsdatum;Offic. cijfer;Datum verlopen geldigheidsduur
Bachelor;DMCI-ICT 2014LAG_TD;Languages, Automata, Graphs t;8-3-2016;5,8;
Bachelor;DMCI-ICT 2014IITSOP;Information in Techn Systems p;29-1-2016;vold.;
Bachelor;DMCI-ICT 2014IITSTD;Information in Techn Systems t;29-1-2016;3,5;
Bachelor;DMCI-ICT 2014LAG_OP;Languages, Automata, Graphs p;29-1-2016;geen res.;
Bachelor;DMCI-ICT 2014LAG_TD;Languages, Automata, Graphs t;29-1-2016;4,1;
Bachelor;DMCI-ICT 2014ROW1PD;PROW product;29-1-2016;8;
Bachelor;DMCI-ICT 2014ROW2TM;PROW process;29-1-2016;7;
Bachelor;DMCI-ICT 2014ROW3TM;PROW methoden en technieken;29-1-2016;8;
Bachelor;DMCI-ICT 2014ROW4TM;PROW Fluency;29-1-2016;vold.;
Bachelor;DMCI-ICT 2014PEERTM;Peer-assessment tm;18-1-2016;7;
Bachelor;DMCI-ICT 5015PS14OP;PSP Out of the Box op;18-1-2016;6,8;
Bachelor;DMCI-ICT 2014EM2_OP;Embedded Systems 2 practical;18-12-2015;onvold.;
Bachelor;DMCI-ICT 2014EM2_TD;Embedded Systems 2 theory;16-12-2015;4;
Bachelor;DMCI-ICT 2014EM2_OP;Embedded Systems 2 practical;6-11-2015;geen res.;
Bachelor;DMCI-ICT 2014EM2_TD;Embedded Systems 2 theory;6-11-2015;geen res.;
Bachelor;DMCI-ICT 2014JO__OP;Job Orientation assignments;6-11-2015;6,5;
Bachelor;DMCI-ICT 2014JO__PS;Job Orientation presentie;6-11-2015;vold.;
Bachelor;DMCI-ICT 2014TESTOP;Testing practical;6-11-2015;vold.;
Bachelor;DMCI-ICT 2015TESTTD;Testing theory;28-10-2015;6,5;
Bachelor;DMCI-ICT 2014TESTOP;Testing practical;26-10-2015;geen res.;
Bachelor;DMCI-ICT 1014APR_TS;Automata and Programming tent.;2-7-2015;5,6;
Bachelor;DMCI-ICT 1014ESKETD;Essential Skills English toets;2-7-2015;6;
Bachelor;DMCI-ICT 1014BUS_TS;Business tentamen;30-6-2015;5,5;
Bachelor;DMCI-ICT 1014PAD1PD;PAD: Product;26-6-2015;8;
Bachelor;DMCI-ICT 1014PAD2TM;PAD: Proces mondeling;26-6-2015;7;
Bachelor;DMCI-ICT 1014PAD4TM;PAD: Methoden en technieken tm;26-6-2015;6;
Bachelor;DMCI-ICT 1014ESKNTD;Essential Skills Nederlands td;24-6-2015;5,5;
Bachelor;DMCI-ICT 1014CSK_TM;Communication Skills mondeling;18-6-2015;7;
Bachelor;DMCI-ICT 1014ESKETD;Essential Skills English toets;18-6-2015;4;
Bachelor;DMCI-ICT 1014ATS_PA;Automation of Tech. Systems pa;15-6-2015;vold.;
Bachelor;DMCI-ICT 1014ATS_TP;Automation of Tech. Systems pr;15-6-2015;6;
Bachelor;DMCI-ICT 1014BUS_TS;Business tentamen;15-6-2015;3,9;
Bachelor;DMCI-ICT 1014APR_TP;Automata and Programming prac.;29-5-2015;vold.;
Bachelor;DMCI-ICT 1014APR_TS;Automata and Programming tent.;29-5-2015;4,2;
Bachelor;DMCI-ICT 1014PAD3TD;PAD: Proces SCRUM;29-5-2015;6,7;
Bachelor;DMCI-ICT 1014PAD5TD;PAD: Methoden & technieken UML;29-5-2015;4,8;
Bachelor;DMCI-ICT 1014USIATD;User Interaction tentamen;29-5-2015;6;
Bachelor;DMCI-ICT 1014PAD3TD;PAD: Proces SCRUM;10-4-2015;5,2;
Bachelor;DMCI-ICT 1014PAD5TD;PAD: Methoden & technieken UML;10-4-2015;4,8;
Bachelor;DMCI-ICT 1014RSK_PA;Research Skills pa;10-4-2015;geen res.;
Bachelor;DMCI-ICT 1014RSK_PA;Research Skills pa;10-4-2015;7,5;
Bachelor;DMCI-ICT 1014USIATD;User Interaction tentamen;10-4-2015;5;
Bachelor;DMCI-ICT 1014USIATP;User Interaction practicum;10-4-2015;vold.;
Bachelor;DMCI-ICT 1014ESKWTD;Essential Skills Wiskunde td;9-4-2015;8,2;
Bachelor;DMCI-ICT 1014DB__TS;Databases tentamen;13-3-2015;5,9;
Bachelor;DMCI-ICT 1014EM1_TS;Embedded Systems 1 tentamen;13-3-2015;6;
Bachelor;DMCI-ICT 1014SIM_PR;Domeinproject pr;7-2-2015;6;
Bachelor;DMCI-ICT 1014DB__OP;Databases opdrachten;30-1-2015;vold.;
Bachelor;DMCI-ICT 1014DB__TS;Databases tentamen;30-1-2015;5,1;
Bachelor;DMCI-ICT 1014EM1_TP;Embedded Systems 1 practicum;30-1-2015;vold.;
Bachelor;DMCI-ICT 1014EM1_TS;Embedded Systems 1 tentamen;30-1-2015;4,5;
Bachelor;DMCI-ICT 1014PFYSPD;PFYS: Product;30-1-2015;7;
Bachelor;DMCI-ICT 1014PFYST1;PFYS: Proces;30-1-2015;6,5;
Bachelor;DMCI-ICT 1014PFYST2;PFYS: Methoden en technieken;30-1-2015;6;
Bachelor;DMCI-ICT 1014PSK_TM;Project Skills mondeling;19-1-2015;7;
Bachelor;DMCI-ICT 1014INF_TD;Infrastructure tentamen;7-11-2014;6,7;
Bachelor;DMCI-ICT 1014PRO_OP;Programming opdrachten;7-11-2014;vold.;
Bachelor;DMCI-ICT 1014PRO_TP;Programming practicum;7-11-2014;8;
Bachelor;DMCI-ICT 1014LSK_OP;Learning Skills op;4-11-2014;7;
Bachelor;DMCI-ICT 1014INF_TD;Infrastructure tentamen;31-10-2014;3,9;
