Loopbaan;Nummer studiedeel;Omschrijving;Toetsdatum;Offic. cijfer;Datum verlopen geldigheidsduur
Bachelor;DMCI-ICT 2014PEERTM;Peer-assessment tm;7-3-2016;7;
Bachelor;DMCI-ICT 2014IMPLOP;Implementation opdracht;29-1-2016;geen res.;
Bachelor;DMCI-ICT 2014NE2_TD;Network Engineering 2 theory;29-1-2016;geen res.;
Bachelor;DMCI-ICT 2014VIR1PD;PVIRT product;29-1-2016;4,1;
Bachelor;DMCI-ICT 2014VIR2TM;PVIRT process;29-1-2016;7;
Bachelor;DMCI-ICT 2014VIR3TM;PVIRT methoden en technieken;29-1-2016;1;
Bachelor;DMCI-ICT 2014VIR4TM;PVIRT fluency;29-1-2016;vold.;
;;;;;
Bachelor;DMCI-ICT 5014PS05OP;PSP Project Management op;18-1-2016;6;
Bachelor;DMCI-ICT 1014PRO_TP;Programming practicum;6-11-2015;7,7;
;;;;;
Bachelor;DMCI-ICT 2014JO__OP;Job Orientation assignments;6-11-2015;7,7;
Bachelor;DMCI-ICT 2014JO__PS;Job Orientation presentie;6-11-2015;vold.;
Bachelor;DMCI-ICT 2014SE2_TD;System Engineering 2 theory;6-11-2015;5,8;
;;;;;
Bachelor;DMCI-ICT 2015TESTTD;Testing theory;28-10-2015;7,2;
Bachelor;DMCI-ICT 2014TESTOP;Testing practical;26-10-2015;vold.;
;;;;;
Bachelor;DMCI-ICT 1014PAD1PD;PAD: Product;26-6-2015;7;
Bachelor;DMCI-ICT 1014PAD2TM;PAD: Proces mondeling;26-6-2015;8;
Bachelor;DMCI-ICT 1014PAD4TM;PAD: Methoden en technieken tm;26-6-2015;6;
Bachelor;DMCI-ICT 1014SEP_TD;Syst Eng Python Programming td;26-6-2015;5,6;
Bachelor;DMCI-ICT 1014ESKNTD;Essential Skills Nederlands td;24-6-2015;7;
Bachelor;DMCI-ICT 1014CSK_TM;Communication Skills mondeling;18-6-2015;8;
Bachelor;DMCI-ICT 1014BUS_TS;Business tentamen;15-6-2015;7,3;
;;;;;
Bachelor;DMCI-ICT 1014RSK_PA;Research Skills pa;25-5-2015;6,6;
Bachelor;DMCI-ICT 1014PAD3TD;PAD: Proces SCRUM;10-4-2015;7,1;
Bachelor;DMCI-ICT 1014PAD5TD;PAD: Methoden & technieken UML;10-4-2015;5,9;
Bachelor;DMCI-ICT 1014RSK_PA;Research Skills pa;10-4-2015;5;
Bachelor;DMCI-ICT 1014USIATD;User Interaction tentamen;10-4-2015;6;
Bachelor;DMCI-ICT 1014USIATP;User Interaction practicum;10-4-2015;vold.;
Bachelor;DMCI-ICT 1014SE1_TD;System Engineering 1 tentamen;30-3-2015;8,2;
Bachelor;DMCI-ICT 1014SIM_PR;Domeinproject pr;7-2-2015;5,6;
Bachelor;DMCI-ICT 1014DB__OP;Databases opdrachten;30-1-2015;vold.;
Bachelor;DMCI-ICT 1014DB__TS;Databases tentamen;30-1-2015;8,1;
Bachelor;DMCI-ICT 1014ESKETD;Essential Skills English toets;30-1-2015;7;
Bachelor;DMCI-ICT 1014NET_TD;Network Engineering 1 ten;30-1-2015;7,8;
Bachelor;DMCI-ICT 1014PFYSPD;PFYS: Product;30-1-2015;7,3;
Bachelor;DMCI-ICT 1014PFYST1;PFYS: Proces;30-1-2015;7;
Bachelor;DMCI-ICT 1014PFYST2;PFYS: Methoden en technieken;30-1-2015;6;
Bachelor;DMCI-ICT 1014ESKWTD;Essential Skills Wiskunde td;19-1-2015;8,8;
Bachelor;DMCI-ICT 1014PSK_TM;Project Skills mondeling;19-1-2015;8;
Bachelor;DMCI-ICT 1014PRO_TP;Programming practicum;19-12-2014;2,5;
Bachelor;DMCI-ICT 1014PRO_OP;Programming opdrachten;17-12-2014;vold.;
Bachelor;DMCI-ICT 1014INF_TD;Infrastructure tentamen;7-11-2014;7,6;
Bachelor;DMCI-ICT 1014PRO_OP;Programming opdrachten;7-11-2014;onvold.;
Bachelor;DMCI-ICT 1014PRO_TP;Programming practicum;7-11-2014;4;
Bachelor;DMCI-ICT 1014LSK_OP;Learning Skills op;4-11-2014;7,5;
Bachelor;DMCI-ICT 1014INF_TD;Infrastructure tentamen;31-10-2014;6,9;
