,,,,,,,,,,,,
Career,Course code,Description,Exam Date,Grade,,,,,,,,
Bachelor,T-TWK 2414OPRSTS,Operations Research TS,7/3/2015,"6,6",,,,,,,,
Bachelor,T-TWK 2411AVA-PA,Algemene vaardigheden PA,7/1/2015,"9,3",,,,,,,,
Bachelor,T-TWK 2411SLB-SL,Studieloopbaanbegeleiding SL,7/1/2015,no result,,,,,,,,
Bachelor,T-TWK 2311FINWTS,Financiele wiskunde TS,6/25/2015,"9,1",,,,,,,,
Bachelor,T-TWK 2311CALCTS,Calculus TS,6/24/2015,"6,7",,,,,,,,
Bachelor,T--ALG 8914WILFOP,Wiskunde OP,6/15/2015,"5,7",,,,,,,,
Bachelor,T-TWK 2414OPRSTS,Operations Research TS,6/12/2015,no result,,,,,,,,
Bachelor,T-TWK 2411ECO-TS,Economie TS,6/11/2015,"6,8",,,,,,,,
Bachelor,T-TWK 2411CALCTS,Calculus TS,6/8/2015,"7,5",,,,,,,,
Bachelor,T-TWK 2414COMVO1,Computervaardigheden OP,6/4/2015,"9,3",,,,,,,,
Bachelor,T-TWK 2414ENG-OP,Engels OP,6/1/2015,"6,7",,,,,,,,
Bachelor,T-TWK 2213COMVPD,Computervaardigheden OP,4/24/2015,"6,2",,,,,,,,
Bachelor,T--ALG 8914PRNDOP,Programmeer Nanodrone OP,4/12/2015,"7,5",,,,,,,,
Bachelor,T-TWK 2211CALCTS,Calculus TS,4/10/2015,"6,7",,,,,,,,
Bachelor,T-TWK 2211FINWTS,Financiele wiskunde TS,4/10/2015,"7,1",,,,,,,,
Bachelor,T-TWK 2213STT-TS,Statistiek TS,4/10/2015,"7,0",,,,,,,,
Bachelor,T-TWK 2311AVA-PA,Algemene vaardigheden PA,4/10/2015,"9,0",,,,,,,,
Bachelor,T-TWK 2311CALCTS,Calculus TS,4/10/2015,"5,0",,,,,,,,
Bachelor,T-TWK 2311ECO-TS,Economie TS,4/10/2015,"6,8",,,,,,,,
Bachelor,T-TWK 2311FINWTS,Financiele wiskunde TS,4/10/2015,"4,9",,,,,,,,
Bachelor,T-TWK 2313COMVOP,Computervaardigheden OP,4/10/2015,"6,8",,,,,,,,
Bachelor,T-TWK 2313TLS-TS,"Taal, Logica, Structuren TS",4/10/2015,"9,0",,,,,,,,
Bachelor,T-TWK 2314ENG-OP,Engels OP,4/10/2015,"5,5",,,,,,,,
Bachelor,T-TWK 2211AVA-PA,Algemene vaardigheden PA,1/30/2015,"8,5",,,,,,,,
Bachelor,T-TWK 2213COMVPD,Computervaardigheden OP,1/30/2015,no result,,,,,,,,
Bachelor,T-TWK 2213STT-TS,Statistiek TS,1/30/2015,no result,,,,,,,,
Bachelor,T-TWK 2211CALCTS,Calculus TS,1/29/2015,"4,8",,,,,,,,
Bachelor,T-TWK 2213OPRSTS,Operations Research TS,1/28/2015,"6,0",,,,,,,,
Bachelor,T-TWK 2211FINWTS,Financiele wiskunde TS,1/26/2015,"3,5",,,,,,,,
Bachelor,T-TWK 2113STT-TS,Statistiek TS,1/22/2015,"7,4",,,,,,,,
Bachelor,T-TWK 2111AVA-PA,Algemene vaardigheden PA,11/9/2014,"9,0",,,,,,,,
Bachelor,T-TWK 2111OPRSOP,Operations Research OP,11/9/2014,"7,2",,,,,,,,
Bachelor,T-TWK 2114COMVOP,Computervaardigheden OP,11/9/2014,"6,8",,,,,,,,
Bachelor,T-TWK 2113STT-TS,Statistiek TS,11/7/2014,"3,5",,,,,,,,
Bachelor,T-TWK 2111TLS-TS,"Taal, Logica, Structuren TS",11/6/2014,"8,3",,,,,,,,
Bachelor,T-TWK 2111FINWTS,Financiele wiskunde TS,11/4/2014,"6,3",,,,,,,,
Bachelor,T-TWK 2111CALCTS,Calculus TS,11/3/2014,"7,1",,,,,,,,
Bachelor,T-TWK 1413COMVOP,Computervaardigheden OP,7/4/2014,"5,8",,,,,,,,
Bachelor,T-TWK 1413ENG-TS,Prof. Vaardigheden Engels TS,7/4/2014,"7,4",,,,,,,,
Bachelor,T-TWK 1411CALCTS,Calculus TS,6/30/2014,"6,9",,,,,,,,
